1인 가구수,소규모 체육시설 수,서비스 상태 지수,슬세권명
2367,0,2368.0,용문동 용문교 주변
3762,1,1881.5,용운동 행정복지센터 주변
1597,0,1598.0,소제동 우체국 주변
3537,2,1179.3,용전동 홈플러스 주변
4447,3,1112.0,배재대학교 정문 주변
1929,1,965.0,대덕구청 주변
1857,1,929.0,대전서부경찰서 주변
876,0,877.0,노은송림마을A 주변
871,0,872.0,신흥역 주변
1730,1,865.5,대화동 대전원명학교 주변
1629,1,815.0,오정동 농수산오거리 주변
3236,3,809.3,법동 삼호A 주변
786,0,787.0,한남대학교 대덕밸리캠퍼스 주변
2874,3,718.8,유천동 버드내공원 주변
714,0,715.0,한밭대학교 주변
3534,4,707.0,선리단길 주변
1324,1,662.5,관저동 다온숲3단지 주변
2534,3,633.8,비래동 행정복지센터 주변
627,0,628.0,산내초등학교 주변
3706,5,617.8,홍도동 신동아A 주변
5513,8,612.7,우송대 캠퍼스 사이
608,0,609.0,도안7단지A 주변
1214,1,607.5,노은3지군1단지A 주변
600,0,601.0,남대전고 주변
6251,10,568.4,괴정동 행정복지센터 주변
1659,2,553.3,한밭도서관 주변
1100,1,550.5,노은농수산물도매시장 주변
3784,6,540.7,대전보건대학교 주변
3221,5,537.0,대전송강중학교 주변
515,0,516.0,산성도서관 주변
503,0,504.0,관저LH천년나무1단지A 주변
1501,2,500.7,한국타이어 대전공장 주변
494,0,495.0,LH네이처뷰3다지A 주변
476,0,477.0,갈마중학교 주변
465,0,466.0,대전자운초교 주변
442,0,443.0,신성동 럭키하나A 주변
442,0,443.0,한국가스기술공사 본사 주변
433,0,434.0,벤처타운 장영실관 주변
412,0,413.0,한국침례신학대학교 주변
400,0,401.0,신탄진도서관 주변
396,0,397.0,유성선병원 주변
4356,10,396.1,월평역 주변
1568,3,392.3,대덕구보건소 주변
3905,9,390.6,장대네거리 주변
1165,2,388.7,대전과학기술대학교 주변
377,0,378.0,산성동 보성네거리 주변
1132,2,377.7,구암역 주변
374,0,375.0,산내동 행정복지센터 주변
3688,9,368.9,판암역 주변
365,0,366.0,계룡대림이편한세상A 주변
1422,3,355.8,한밭중학교 주변
2132,5,355.5,대전태평중학교 주변
2739,7,342.5,가양1동 행정복지센터 주변
1022,2,341.0,대전옥계초등학교 주변
679,1,340.0,덕암동 행정복지센터 주변
1356,3,339.3,남대전등기소 주변
336,0,337.0,문화노인회관 주변
4973,14,331.6,대전용전초등학교 주변
324,0,325.0,송촌동 선비마을2단지A 주변
2590,7,323.9,오룡역 주변
1594,4,319.0,대전대신고등학교 주변
1594,4,319.0,한남대학교 후문 주변
7010,21,318.7,갈마2동 행정복지센터 주변
2214,6,316.4,진잠동 행정복지센터 주변
1837,5,306.3,도마큰시장 주변
2362,7,295.4,대전도안고등학교 주변
587,1,294.0,유성생명과학고등학교 주변
2040,6,291.6,한밭여자중학교 주변
